15,광화문광장 야경,"종로구 세종로에 위치한 광화문광장은 크게 광화문에서 청계천 방향으로 '광화문의 역사를 회복하는 광장', '육조거리의 풍경을 재현하는 광장', '한국의 대표 광장', '시민들이 참여하는 도시문화 광장', '도심 속의 광장', '청계천 연결부'로 나뉜다. 개별 공간의 특성을 바탕으로 역사성을 부활하고 문화와 휴식의 공간으로서 기능을 갖는다. 특히 '한국의 대표 광장'은 세종대왕 동상이 자리해 광장의 구심점 역할을 한다. 오가는 사람들의 발길로 항상 떠들썩한",랜드마크
16,광화문광장,"조선 태조는 1394년에 도읍을 한양으로 옮기고 정국인 경복궁을 지었다. 그리고 궁의 정문인 광화문 앞 길의 좌우에 의정부를 포함해 육조 관아 거리를 건설했다. 한양 최고의 길이었다. 2009년 그 길이 다시 열렸다. 광화문에서 청계광장에 이르는 광장이 들어선 것이다. 광장은 크게 '광화문의 역사를 회복하는 광장', '육조거리의 풍경을 재현하는 광장', '한국의 대표 광장', '시민들이 참여하는 도시문화 광장', '도심 속의 광장', '청계천 연결부'로",랜드마크
17,63스퀘어,"여의도 63빌딩은 볼거리, 먹을거리, 즐길거리 등을 갖춘 복합 공간이다. 빌딩의 맨 꼭대기, 63 스카이텍은 전망 하나만으로 모든 걸 압도한다. 59층 스카이라운지 '워킹 온 더 클라우드'는 아름다운 전망을 보며 식사를 할 수 있는 이탈리아 레스토랑이다. 57층에 위치한 중식당 '백리향'도 특별한 맛이 있는 곳이다. 백리향은 국내 최초로 철갑상어 특선 요리를 개발해 유명해진 곳이다. 63스퀘어는 63씨월드, 63아트홀, 카페와 레스토랑, 편의 시설등 모",랜드마크
18,서울광장,"서울에서 신발을 벗고 걸을 수 있는 곳. 따스한 햇살을 이불 삼아 낮잠을 청할 수 있는 곳. 바로 서울광장이다. 2002년 월드컵과 함께 시청 앞 광장은 다시 태어났고, 지금은 일반 시민들은 물론 서울을 찾는 외국 관광객들에게 서울의 다양한 문화 체험이 가능한 새로운 명소로 자리매김했다. 광장은 잔디 상태가 나쁘지 않은 날을 제외하곤 시민들에게 개방된다. 잔디광장 옆에는 바닥분수도 준비되어 있다. 무더운 여름이면 옷이 젖는 줄도 모르고 깔깔 거리며 뛰어",랜드마크
19,세빛섬,"‘한강을 아름답게 밝혀주는 세 개의 빛나는 섬’이란 의미를 지닌 세빛섬은 세계 최초의 수상 문화공간이다. 가빛섬, 채빛섬, 솔빛섬, 예빛섬 등 총 4개의 인공섬으로 이뤄져 있으며, 웨딩 컨벤션을 비롯해 이탈리안 레스토랑, 뷔페, 카페가 마련되어 있고, 수상 레저를 즐길 수 있는 요트, 튜브스터와 각종 전시, 공연, 이벤트가 이뤄지는 공간으로 활용되고 있다. 서울의 야간명소로도 손꼽히는 세빛섬은 화려하고 아름다운 LED 조명이 한강과 어우러지는 환상적인 ",랜드마크
20,국회의사당,"여의도에 위치한 국회의사당은 한국의 민주주의와 인권을 상징하는 건물이다. 국회의사당 본관이 있고 그 오른쪽에는 국회도서관이, 왼쪽에는 의원회관이 있다. 국회 참관은 참관희망일 기준 3일 전까지 온라인 예약을 해야 한다. 국회의사당역 1번, 6번 출구로 나오면 쉽게 찾을 수 있다.",랜드마크
21,63전망대 야경,"63아트, 또는 63스카이아트라고도 불리는 63빌딩 전망대에서는 탁 트인 서울 시내 경치를 한눈에 볼 수 있는 곳이다. 야경도 아름답기로 유명하며, 경치뿐 아니라 아기자기한 미술작품들이 전시되어 있어서 감상할 수 있으며, 소원을 적어서 남길 수 있는 소원의 벽도 한편에 마련되어 있다.

<관련 콘텐츠 정보 보기>
63스퀘어
[개별자유여행-FIT] 꿈과 낭만, 휴식의 섬 여의도",랜드마크
22,북악스카이웨이 북악팔각정,"서울 하늘에 맞닿은 전망대
연인들의 데이트 코스로 손꼽히는 북악스카이웨이는 남산서울타워와는 또 다른 각도로 서울 전체를 볼 수 있는 곳이다. 1970년대만 해도 신혼부부들에게 최고의 드라이브 코스를 선사하는 신혼여행지였다. 나선형으로 구불구불 이어지는 도로에는 잘 정비된 가로수와 계절마다 피고 지는 다양한 꽃의 향연이 펼쳐진다. 빽빽하게 들어선 수풀 사이를 달리는 동안 ‘서울의 하늘길’ 아래로 시내 전경이 보인다.
정상에 있는 팔각정에 오르면 산등성이를",랜드마크
23,반포대교 야경,"서울 야경 명소인 반포대교는 용산구와 서초구를 잇는 2층 교량으로 무지개 분수 쇼와 여의도 불꽃축제 기간에는 불꽃놀이를 구경할 수 있는 곳이다. 데이트 코스로도 많이 이용되며, 야경이 매우 아름다운 곳이다. 주로 커플이나 가족 단위로 방문하여 야식과 함께 반포대교의 야경을 보곤 한다. 서울의 낭만적인 야경에 취하고 싶다면 보기만 해도 시원해지고 아름다운 반포대교를 추천한다.",랜드마크
24,반포대교 달빛무지개분수,달빛무지개분수는 서울 한강만이 가지고 있는 넓은 강폭 전체를 연출하기 위해 반포대교 구간에 낙하용 수중펌프를 이용하고 음악에 맞추어 물을 분사하여 연출한다. 200개의 조명이 색색의 아름다운 무지갯빛 야경을 선사하는데 물줄기는 음악에 맞춰 몸을 흔들며 시민들의 눈을 사로잡는다. 4월부터 10월까지 하루 3~7차례 가동한다. 달빛무지개분수의 모습을 볼 수 있는 가장 좋은 장소는 분수와 함께 새 단장을 마친 반포대교 남북단 반포한강공원이다. 이곳에는 분수를,랜드마크
